frame_id,room_amount,window_amount,surface,total_exterior_wall_amount,total_source_energy_consumption_GJ,total_site_energy_consumption_GJ,total_source_energy_consumption_per_surface_MJm2,total_site_energy_consumption_per_surface_MJm2,site_energy_heating_GJ,site_energy_cooling_GJ,site_energy_heating_per_surface_MJm2,site_energy_cooling_per_surface_MJm2,total_window_amount,total_wall_area_m2,wall_area_north_m2,wall_area_east_m2,wall_area_south_m2,wall_area_west_m2,total_window_opening_area_m2,window_opening_area_north_m2,window_opening_area_east_m2,window_opening_area_south_m2,window_opening_area_west_m2,total_window_wall_ratio_percent,window_wall_ratio_north_percent,window_wall_ratio_east_percent,window_wall_ratio_south_percent,window_wall_ratio_west_percent
9,9,8,104.7558,12.0,225.42,66.39,2151.88,633.75,47.17,2.79,450.26,26.6,8.0,110.54,27.69,27.58,27.69,27.58,17.65,0.0,8.86,2.28,6.51,15.97,0.0,32.13,8.23,23.62
9,9,8,104.7558,12.0,250.73,75.99,2393.44,725.42,53.1,6.46,506.87,61.67,8.0,110.54,27.69,27.58,27.69,27.58,33.91,0.0,10.08,13.8,10.03,30.68,0.0,36.54,49.85,36.37
9,9,11,104.7558,12.0,240.73,70.61,2298.0,674.09,51.41,2.77,490.74,26.47,11.0,110.54,27.69,27.58,27.69,27.58,27.2,13.67,7.17,2.07,4.29,24.61,49.35,25.99,7.49,15.56
9,9,8,104.7558,12.0,233.33,69.54,2227.37,663.85,48.96,4.15,467.35,39.61,8.0,110.54,27.58,27.69,27.58,27.69,22.61,0.0,2.28,6.51,13.82,20.45,0.0,8.23,23.62,49.9
9,9,8,104.7558,12.0,239.82,71.95,2289.28,686.86,50.5,5.02,482.06,47.92,8.0,110.54,27.58,27.69,27.58,27.69,27.51,0.0,13.8,10.03,3.68,24.89,0.0,49.85,36.37,13.28
9,9,11,104.7558,12.0,240.85,71.55,2299.18,683.01,51.07,4.04,487.52,38.61,11.0,110.54,27.58,27.69,27.58,27.69,27.2,7.17,2.07,4.29,13.67,24.61,25.99,7.49,15.56,49.35
9,9,3,104.7558,12.0,211.63,61.22,2020.23,584.43,43.91,0.88,419.15,8.4,3.0,110.54,27.58,27.69,27.58,27.69,8.2,8.2,0.0,0.0,0.0,7.42,29.73,0.0,0.0,0.0
10,8,3,85.77449999999999,12.0,181.36,52.27,2114.41,609.44,39.14,0.79,456.32,9.16,3.0,100.33,23.13,27.03,23.13,27.03,8.95,8.95,0.0,0.0,0.0,8.92,38.69,0.0,0.0,0.0
10,8,12,85.77449999999999,12.0,204.31,60.54,2381.96,705.8,44.7,3.49,521.15,40.69,12.0,100.33,23.13,27.03,23.13,27.03,24.17,4.47,7.89,7.62,4.19,24.09,19.34,29.19,32.95,15.49
10,8,3,85.77449999999999,12.0,187.09,53.96,2181.22,629.15,40.68,0.93,474.31,10.89,3.0,100.33,23.13,27.03,23.13,27.03,12.02,12.02,0.0,0.0,0.0,11.98,51.96,0.0,0.0,0.0
