TimeStamp,Duration,Optimizer,CV Type,Split,K-Folds,HL Widths,Conv Layer Type,Pooling,Learning Rate,Batch Size,Epochs,Training Accuracy,Testing Accuracy,Training Loss,Testing Loss
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,16,0.3014705882352941,0.34420955882352944,1.5201160691001199,1.511050446466966
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,17,0.31433823529411764,0.3635110294117647,1.5177178599617698,1.5075155659155413
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,18,0.32536764705882354,0.36075367647058826,1.512565786188299,1.5052667991681532
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,19,0.32169117647058826,0.3602941176470588,1.5083527998490767,1.5022655102339657
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,20,0.3327205882352941,0.3616727941176471,1.5058029239827937,1.498572969978506
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,21,0.3400735294117647,0.37224264705882354,1.5026815371079878,1.4949641850861637
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,22,0.3602941176470588,0.38878676470588236,1.4990232315930454,1.4937047199769453
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,23,0.35661764705882354,0.37316176470588236,1.4945886785333806,1.4889302931048654
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,24,0.3474264705882353,0.3727022058823529,1.4916776093569668,1.4856815392320806
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,25,0.3584558823529412,0.3874080882352941,1.4888259172439575,1.4838041094216434
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,26,0.35661764705882354,0.38327205882352944,1.486418984153054,1.4806173552166333
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,27,0.3786764705882353,0.39797794117647056,1.483054984699596,1.477981765161861
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,28,0.37683823529411764,0.3947610294117647,1.478479873050343,1.4753208322958513
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,29,0.3786764705882353,0.39889705882352944,1.4759913032705134,1.4734017740596423
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,30,0.3713235294117647,0.39108455882352944,1.4741524999791926,1.4683865335854618
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,31,0.3786764705882353,0.39705882352941174,1.4705303690650247,1.4683300825682553
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,32,0.38786764705882354,0.42049632352941174,1.469097841869701,1.465934013778513
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,33,0.3897058823529412,0.39889705882352944,1.4652733260935003,1.4616000733592294
