TimeStamp,Duration,Optimizer,CV Type,Split,K-Folds,HL Widths,Conv Layer Type,Pooling,Learning Rate,Batch Size,Epochs,Training Accuracy,Testing Accuracy,Training Loss,Testing Loss
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,84,0.8333333333333334,0.23076923076923078,1.4194272756576538,2.308208703994751
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,85,0.8333333333333334,0.23076923076923078,1.413824439048767,2.3100814819335938
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,86,0.8333333333333334,0.23076923076923078,1.408279538154602,2.311955451965332
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,87,0.8333333333333334,0.23076923076923078,1.4027910232543945,2.3138298988342285
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,88,0.8333333333333334,0.23076923076923078,1.3973575830459595,2.315704584121704
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,89,0.8333333333333334,0.23076923076923078,1.391978144645691,2.317579746246338
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,90,0.8333333333333334,0.23076923076923078,1.3866511583328247,2.3194541931152344
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,91,0.8333333333333334,0.23076923076923078,1.3813759088516235,2.3213279247283936
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,92,0.8333333333333334,0.2692307692307692,1.376151442527771,2.3232004642486572
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,93,0.8333333333333334,0.2692307692307692,1.370976448059082,2.325071334838867
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,94,0.8333333333333334,0.2692307692307692,1.3658498525619507,2.3269405364990234
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,95,0.8333333333333334,0.2692307692307692,1.3607707023620605,2.3288075923919678
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,96,0.8333333333333334,0.2692307692307692,1.3557380437850952,2.330672025680542
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,97,0.8333333333333334,0.2692307692307692,1.3507508039474487,2.332534074783325
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,98,0.8333333333333334,0.2692307692307692,1.3458083868026733,2.334392786026001
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,99,0.8333333333333334,0.2692307692307692,1.3409093618392944,2.3362486362457275
UTC-2023-2-27-20-38-17,2.03,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,100,0.8333333333333334,0.2692307692307692,1.336053490638733,2.3381009101867676
